date,exchange,code,name,total_shares_wanfen
2026-09-01,SSE,560260,医疗50,171566.47
2026-09-01,SSE,560270,电力指数,16443.9
2026-09-01,SSE,560280,工程机械,158425.2
2026-09-01,SSE,560290,景顺有色,36769.4
2026-09-01,SSE,560300,电信50,2680.34
2026-09-01,SSE,560310,光伏博时,18512.2
2026-09-01,SSE,560320,食品富国,11833.2
2026-09-01,SSE,560330,300价值E,1713
2026-09-01,SSE,560350,A50指数,84553.21
2026-09-01,SSE,560360,软件指数,22534.5
2026-09-01,SSE,560370,全指红利,21008.4
2026-09-01,SSE,560380,A100,14086.1
2026-09-01,SSE,560390,电网E,203525.8
2026-09-01,SSE,560400,证券华泰,17049.3
2026-09-01,SSE,560410,电池鹏华,5878.61
2026-09-01,SSE,560420,食品Q,13078.02
2026-09-01,SSE,560450,电力TH,24856.9
2026-09-01,SSE,560460,电力平安,28303.7
2026-09-01,SSE,560470,有色E,30434
2026-09-01,SSE,560480,中证电力,13980.3
2026-09-01,SSE,560490,华泰有色,10548.2
2026-09-01,SSE,560500,500质量,29533.9
2026-09-01,SSE,560510,中证A500,253102.69
2026-09-01,SSE,560520,红利大成,5175.1
2026-09-01,SSE,560530,A500ETF,399462.37
2026-09-01,SSE,560550,碳中和,12359.74
2026-09-01,SSE,560560,碳中和TK,7019.01
2026-09-01,SSE,560570,A500低波,115754.12
2026-09-01,SSE,560580,电力指基,44100.3
2026-09-01,SSE,560590,1000鹏华,2871
2026-09-01,SSE,560610,A500指数,524598.84
2026-09-01,SSE,560620,公用WJ,2636.7
2026-09-01,SSE,560630,机器人WJ,15339.4
2026-09-01,SSE,560660,云50ETF,12993.8
2026-09-01,SSE,560670,中证银行,4197.4
2026-09-01,SSE,560680,龙头消费,33522.56
2026-09-01,SSE,560690,电信主题,2038.9
2026-09-01,SSE,560700,央红利50,45003.69
2026-09-01,SSE,560710,船舶ETF,174558
2026-09-01,SSE,560720,工银红利,9754.8
2026-09-01,SSE,560730,红利GTHT,8183.63
2026-09-01,SSE,560750,A500申万,7855.48
2026-09-01,SSE,560770,机器人ZS,165163.3
2026-09-01,SSE,560780,半导设备,1302748.8
2026-09-01,SSE,560790,软件服务,22545.59
2026-09-01,SSE,560800,数字ETF,29395.11
2026-09-01,SSE,560810,央企ESG,18111.6
2026-09-01,SSE,560820,A50新华,4092.6
2026-09-01,SSE,560830,电指数,70151.9
2026-09-01,SSE,560850,信创50,6916.4
2026-09-01,SSE,560860,工业有色,532823.3
2026-09-01,SSE,560870,中银有色,9335.19
2026-09-01,SSE,560880,家电基金,19373.2
